Time,day	FOPR	FOPT	FGPR	FGPT	FGIR	FGIT	FWPR	FWPT	FWIR	FWIT	FPR
0	0	0	0	0	0	0	0	0	0	0	300
15	49.298	739.47	84648	1.26972e+06	0	0	46.1448	692.172	0	0	298.326
30	42.4765	1376.62	78923.9	2.45358e+06	0	0	41.0625	1308.11	0	0	296.941
45	39.6481	1971.34	75054.4	3.57939e+06	0	0	39.6704	1903.17	0	0	295.682
60	38.2347	2544.86	73016.8	4.67465e+06	0	0	38.9271	2487.07	0	0	294.478
75	37.131	3101.82	71399.2	5.74563e+06	0	0	38.2629	3061.01	0	0	293.315
90	36.2234	3645.18	70055.7	6.79647e+06	0	0	37.6547	3625.84	0	0	292.186
105	35.446	4176.87	68895.5	7.8299e+06	0	0	37.0937	4182.24	0	0	291.084
120	34.7608	4698.28	67865.2	8.84788e+06	0	0	36.566	4730.73	0	0	290.007
135	34.1392	5210.37	66924.2	9.85174e+06	0	0	36.0668	5271.73	0	0	288.952
150	33.5691	5713.9	66054.6	1.08426e+07	0	0	35.5894	5805.57	0	0	287.916
165	33.0393	6209.49	65242.1	1.18212e+07	0	0	35.129	6332.51	0	0	286.899
180	32.5414	6697.61	64472.3	1.27883e+07	0	0	34.6843	6852.77	0	0	285.9
195	32.0686	7178.64	63736	1.37443e+07	0	0	34.253	7366.57	0	0	284.916
210	31.616	7652.88	63024.2	1.46897e+07	0	0	33.8371	7874.12	0	0	283.949
225	31.1809	8120.59	62335.1	1.56247e+07	0	0	33.4324	8375.61	0	0	282.996
240	30.759	8581.98	61658.9	1.65496e+07	0	0	33.0423	8871.25	0	0	282.057
255	30.3507	9037.24	61000.4	1.74646e+07	0	0	32.6604	9361.15	0	0	281.132
270	29.955	9486.56	60359.1	1.837e+07	0	0	32.2834	9845.4	0	0	280.22
285	29.5701	9930.12	59730.2	1.92659e+07	0	0	31.9126	10324.1	0	0	279.321
300	29.1953	10368	59115.3	2.01527e+07	0	0	31.5466	10797.3	0	0	278.435
315	28.8287	10800.5	58509.4	2.10303e+07	0	0	31.1875	11265.1	0	0	277.56
330	28.4693	11227.5	57910.5	2.1899e+07	0	0	30.8356	11727.6	0	0	276.696
345	28.1159	11649.3	57317.6	2.27587e+07	0	0	30.4898	12185	0	0	275.843
360	27.77	12065.8	56734.4	2.36097e+07	0	0	30.1463	12637.2	0	0	275
375	27.4301	12477.3	56157.9	2.44521e+07	0	0	29.8069	13084.3	0	0	274.166
390	27.0958	12883.7	55588.3	2.52859e+07	0	0	29.4708	13526.3	0	0	273.342
405	26.7666	13285.2	55023.4	2.61113e+07	0	0	29.1392	13963.4	0	0	272.526
420	26.4424	13681.8	54464.5	2.69283e+07	0	0	28.8095	14395.6	0	0	271.719
435	26.1226	14073.7	53910.2	2.77369e+07	0	0	28.4834	14822.8	0	0	270.92
450	25.8064	14460.8	53362.4	2.85373e+07	0	0	28.1597	15245.2	0	0	270.13
465	25.4927	14843.2	52819.4	2.93296e+07	0	0	27.8426	15662.9	0	0	269.348
480	25.1814	15220.9	52282.5	3.01139e+07	0	0	27.5304	16075.8	0	0	268.573
495	24.8727	15594	51751.9	3.08901e+07	0	0	27.222	16484.1	0	0	267.807
510	24.5663	15962.5	51226.1	3.16585e+07	0	0	26.9154	16887.9	0	0	267.045
525	24.2635	16326.4	50703.6	3.24191e+07	0	0	26.6127	17287.1	0	0	266.289
540	23.9655	16685.9	50184.6	3.31719e+07	0	0	26.3108	17681.7	0	0	265.537
555	23.6733	17041	49666.5	3.39169e+07	0	0	26.0147	18072	0	0	264.793
570	23.3833	17391.7	49153.1	3.46542e+07	0	0	25.7249	18457.8	0	0	264.059
585	23.0961	17738.2	48644.1	3.53838e+07	0	0	25.4379	18839.4	0	0	263.335
600	22.8129	18080.4	48138.8	3.61059e+07	0	0	25.1547	19216.7	0	0	262.622
615	22.5331	18418.4	47638.1	3.68205e+07	0	0	24.8747	19589.8	0	0	261.918
630	22.2567	18752.2	47142.1	3.75276e+07	0	0	24.5974	19958.8	0	0	261.225
645	21.9858	19082	46648.6	3.82273e+07	0	0	24.3231	20323.6	0	0	260.542
660	21.7163	19407.8	46161.4	3.89198e+07	0	0	24.0528	20684.4	0	0	259.868
675	21.4515	19729.5	45677.6	3.96049e+07	0	0	23.7861	21041.2	0	0	259.203
690	21.1911	20047.4	45198.3	4.02829e+07	0	0	23.5238	21394.1	0	0	258.548
705	20.936	20361.4	44721.5	4.09537e+07	0	0	23.2633	21743	0	0	257.902
720	20.682	20671.7	44252.8	4.16175e+07	0	0	23.007	22088.1	0	0	257.264
