Time	WOPT	WOPR	WGPT	WGPR	WGIT	WGIR	WWPT	WWPR	WWIT	WWIR	WBHP	WLPR	WLPT
0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	747.35127	49.823418	1280188.8	85345.921	0	0	687.27259	45.818173	0	0	200	95.641591	1434.6239
30	1385.7836	42.562154	2463718.4	78901.97	0	0	1305.7206	41.229864	0	0	200	83.792018	2691.5041
45	1981.3656	39.705469	3587566.4	74923.202	0	0	1904.5022	39.918774	0	0	200	79.624242	3885.8678
60	2556.012	38.309759	4681221.1	72910.316	0	0	2492.1051	39.173532	0	0	200	77.483291	5048.1171
75	3114.2266	37.214309	5750806.7	71305.707	0	0	3069.6611	38.503729	0	0	200	75.718038	6183.8877
90	3658.9285	36.31346	6800402.1	69973.027	0	0	3637.9601	37.8866	0	0	200	74.20006	7296.8886
105	4192.0583	35.541985	7832741.5	68822.622	0	0	4197.6127	37.310176	0	0	200	72.852161	8389.671
120	4714.9225	34.857616	8849597	67790.37	0	0	4749.1344	36.768111	0	0	200	71.625727	9464.0569
135	5228.5066	34.238936	9852297.9	66846.725	0	0	5292.9161	36.252118	0	0	200	70.491054	10521.423
150	5733.5999	33.67289	10841834	65969.042	0	0	5829.3092	35.75954	0	0	200	69.432429	11562.909
165	6230.7465	33.143106	11818961	65141.827	0	0	6358.5955	35.285753	0	0	200	68.428859	12589.342
180	6720.4249	32.645223	12784259	64353.174	0	0	6881.0295	34.828932	0	0	200	67.474155	13601.454
195	7203.0121	32.172485	13738143	63592.269	0	0	7396.8325	34.386865	0	0	200	66.55935	14599.845
210	7678.827	31.72099	14680982	62855.956	0	0	7906.2011	33.95791	0	0	200	65.678899	15585.028
225	8148.165	31.2892	15613068	62139.044	0	0	8409.3179	33.541117	0	0	200	64.830317	16557.483
240	8611.2073	30.869487	16534655	61439.156	0	0	8906.3088	33.13273	0	0	200	64.002217	17517.516
255	9068.2198	30.467501	17445935	60752.034	0	0	9397.3156	32.733783	0	0	200	63.201284	18465.535
270	9519.3715	30.076782	18347159	60081.541	0	0	9882.4017	32.339072	0	0	200	62.415854	19401.773
285	9964.9193	29.703185	19238451	59419.499	0	0	10361.672	31.951378	0	0	200	61.654563	20326.592
300	10405.058	29.342577	20119925	58764.962	0	0	10835.213	31.5694	0	0	200	60.911977	21240.271
315	10839.932	28.991573	20991878	58130.169	0	0	11303.058	31.189625	0	0	200	60.181198	22142.989
330	11269.568	28.642406	21854754	57525.041	0	0	11765.257	30.813304	0	0	200	59.455709	23034.825
345	11693.8	28.282133	22709010	56950.449	0	0	12221.823	30.437712	0	0	200	58.719845	23915.623
360	12112.68	27.925389	23554812	56386.757	0	0	12672.776	30.063565	0	0	200	57.988953	24785.457
375	12526.108	27.561867	24392421	55840.629	0	0	13118.134	29.690474	0	0	200	57.252341	25644.242
390	12933.985	27.191784	25221986	55304.344	0	0	13557.982	29.32326	0	0	200	56.515044	26491.968
405	13336.156	26.811407	26043445	54763.899	0	0	13992.446	28.96424	0	0	200	55.775647	27328.602
420	13732.844	26.445849	26856454	54200.633	0	0	14421.674	28.615186	0	0	200	55.061035	28154.518
435	14124.246	26.093468	27660907	53630.2	0	0	14845.852	28.27858	0	0	200	54.372048	28970.099
450	14510.528	25.752157	28456770	53057.496	0	0	15265.121	27.951213	0	0	200	53.703371	29775.649
465	14891.874	25.423051	29244075	52486.99	0	0	15679.591	27.631337	0	0	200	53.054388	30571.465
480	15268.356	25.098788	30022952	51925.146	0	0	16089.32	27.315276	0	0	200	52.414064	31357.676
495	15640.06	24.780237	30793502	51370.006	0	0	16494.321	27.000088	0	0	200	51.780325	32134.381
510	16007.081	24.46812	31555840	50822.568	0	0	16894.636	26.687668	0	0	200	51.155787	32901.718
525	16369.474	24.159505	32310141	50286.694	0	0	17290.279	26.376212	0	0	200	50.535717	33659.753
540	16727.259	23.852312	33056631	49766.016	0	0	17681.295	26.067685	0	0	200	49.919998	34408.553
555	17080.305	23.536433	33795776	49276.363	0	0	18067.699	25.760267	0	0	200	49.2967	35148.004
570	17428.411	23.207082	34527550	48784.925	0	0	18449.289	25.439339	0	0	200	48.646421	35877.7
585	17771.729	22.88786	35251742	48279.461	0	0	18826.182	25.126234	0	0	200	48.014094	36597.912
600	18110.437	22.580493	35968236	47766.232	0	0	19198.535	24.823516	0	0	200	47.404009	37308.972
615	18444.677	22.282709	36677003	47251.137	0	0	19566.475	24.529324	0	0	200	46.812033	38011.152
630	18774.563	21.992398	37378074	46738.063	0	0	19930.09	24.24104	0	0	200	46.233438	38704.654
645	19100.186	21.708156	38071506	46228.832	0	0	20289.451	23.957398	0	0	200	45.665554	39389.637
660	19421.622	21.429071	38757366	45723.956	0	0	20644.634	23.678856	0	0	200	45.107927	40066.256
675	19738.943	21.154735	39435725	45223.954	0	0	20995.703	23.404598	0	0	200	44.559333	40734.646
690	20052.215	20.884837	40106662	44729.142	0	0	21342.717	23.134251	0	0	200	44.019088	41394.932
705	20361.506	20.619375	40770261	44239.913	0	0	21685.739	22.868101	0	0	200	43.487476	42047.244
720	20666.869	20.357564	41426606	43756.346	0	0	22024.812	22.604928	0	0	200	42.962491	42691.682
