Time,day	FRPV	FOIP	FGIP	FWIP	FOIPP
0	4.17428e+06	1.63025e+06	5.00704e+08	864154	1.63025e+06
15	4.17384e+06	1.6295e+06	4.99422e+08	863466	1.6295e+06
30	4.17352e+06	1.62887e+06	4.98238e+08	862848	1.62887e+06
45	4.17325e+06	1.62827e+06	4.97115e+08	862249	1.62827e+06
60	4.17298e+06	1.6277e+06	4.96021e+08	861662	1.6277e+06
75	4.17273e+06	1.62714e+06	4.94951e+08	861084	1.62714e+06
90	4.17249e+06	1.62659e+06	4.93902e+08	860516	1.62659e+06
105	4.17225e+06	1.62606e+06	4.92869e+08	859956	1.62606e+06
120	4.17202e+06	1.62554e+06	4.91853e+08	859405	1.62554e+06
135	4.17179e+06	1.62502e+06	4.9085e+08	858861	1.62502e+06
150	4.17157e+06	1.62452e+06	4.8986e+08	858324	1.62452e+06
165	4.17136e+06	1.62402e+06	4.88883e+08	857795	1.62402e+06
180	4.17114e+06	1.62353e+06	4.87918e+08	857273	1.62353e+06
195	4.17093e+06	1.62305e+06	4.86964e+08	856757	1.62305e+06
210	4.17073e+06	1.62257e+06	4.86021e+08	856247	1.62257e+06
225	4.17053e+06	1.6221e+06	4.85089e+08	855744	1.6221e+06
240	4.17033e+06	1.62164e+06	4.84167e+08	855247	1.62164e+06
255	4.17013e+06	1.62118e+06	4.83256e+08	854756	1.62118e+06
270	4.16994e+06	1.62073e+06	4.82355e+08	854271	1.62073e+06
285	4.16975e+06	1.62029e+06	4.81464e+08	853792	1.62029e+06
300	4.16956e+06	1.61985e+06	4.80582e+08	853318	1.61985e+06
315	4.16938e+06	1.61941e+06	4.7971e+08	852851	1.61941e+06
330	4.1692e+06	1.61898e+06	4.78847e+08	852388	1.61898e+06
345	4.16902e+06	1.61856e+06	4.77993e+08	851932	1.61856e+06
360	4.16884e+06	1.61814e+06	4.77147e+08	851481	1.61814e+06
375	4.16866e+06	1.61773e+06	4.7631e+08	851036	1.61773e+06
390	4.16849e+06	1.61732e+06	4.7548e+08	850596	1.61732e+06
405	4.16832e+06	1.61692e+06	4.74659e+08	850161	1.61692e+06
420	4.16815e+06	1.61652e+06	4.73846e+08	849732	1.61652e+06
435	4.16798e+06	1.61613e+06	4.73041e+08	849308	1.61613e+06
450	4.16781e+06	1.61574e+06	4.72245e+08	848889	1.61574e+06
465	4.16765e+06	1.61536e+06	4.71458e+08	848474	1.61536e+06
480	4.16748e+06	1.61498e+06	4.70679e+08	848064	1.61498e+06
495	4.16732e+06	1.61461e+06	4.69909e+08	847659	1.61461e+06
510	4.16716e+06	1.61424e+06	4.69146e+08	847259	1.61424e+06
525	4.167e+06	1.61388e+06	4.68392e+08	846863	1.61388e+06
540	4.16684e+06	1.61352e+06	4.67646e+08	846472	1.61352e+06
555	4.16669e+06	1.61317e+06	4.66906e+08	846086	1.61317e+06
570	4.16653e+06	1.61282e+06	4.66175e+08	845704	1.61282e+06
585	4.16638e+06	1.61248e+06	4.6545e+08	845327	1.61248e+06
600	4.16623e+06	1.61214e+06	4.64734e+08	844955	1.61214e+06
615	4.16609e+06	1.61181e+06	4.64025e+08	844587	1.61181e+06
630	4.16594e+06	1.61148e+06	4.63324e+08	844224	1.61148e+06
645	4.1658e+06	1.61115e+06	4.62631e+08	843864	1.61115e+06
660	4.16566e+06	1.61083e+06	4.61945e+08	843509	1.61083e+06
675	4.16552e+06	1.61051e+06	4.61266e+08	843158	1.61051e+06
690	4.16538e+06	1.6102e+06	4.60595e+08	842811	1.6102e+06
705	4.16525e+06	1.60989e+06	4.59932e+08	842468	1.60989e+06
720	4.16512e+06	1.60958e+06	4.59276e+08	842129	1.60958e+06
